Temp , Ave_energy , Ave_energy^2 , C_v
4.0,-0.795,2.169,0.0960609375
3.99,-0.868,2.28,0.09588984993812852
3.98,-0.87,2.306,0.09779424762000959
3.97,-0.822,2.191,0.09614400192882387
3.96,-0.8215,2.2195,0.0985000095653505
3.95,-0.857,2.311,0.10104476846659184
3.94,-0.831,2.222,0.09865231003117833
3.93,-0.8495,2.2365,0.09808090372873893
3.92,-0.88,2.228,0.09459600166597253
3.91,-0.806,2.162,0.09892426135360183
3.9,-0.8535,2.2285,0.09862181130834977
3.89,-0.762,2.105,0.10073657985342417
3.88,-0.8895,2.3515,0.10364343647040072
3.87,-0.9475,2.5615,0.11108732447969873
3.86,-0.892,2.342,0.10378372573760372
3.85,-0.871,2.351,0.10742850396356887
3.84,-0.888,2.277,0.10094238281250004
3.83,-0.794,2.045,0.09643286135974746
3.82,-0.8995,2.3965,0.10878263685205998
3.81,-0.8345,2.2225,0.10513221526443053
3.8,-0.8485,2.2375,0.1050933344875346
3.79,-0.9605,2.4895,0.10908722091881845
3.78,-1.0025,2.6375,0.11425308292041103
3.77,-0.929,2.472,0.11320413145804167
3.76,-0.8595,2.2335,0.10572938476120412
3.75,-0.8815,2.3035,0.10854810666666667
3.74,-0.9715,2.6225,0.12001256470016296
3.73,-0.992,2.56,0.11327156811304619
3.72,-0.9095,2.4165,0.11484779671060238
3.71,-0.8585,2.2345,0.10879590746943134
3.7,-1.0105,2.6635,0.11997003287070851
3.69,-0.9505,2.3955,0.10957981727513755
3.68,-0.873,2.207,0.10669238835066162
3.67,-0.967,2.458,0.11306869900288816
3.66,-0.997,2.609,0.12056130371166648
3.65,-0.9865,2.5845,0.12094710076937507
3.64,-1.025,2.774,0.13006996437628304
3.63,-0.991,2.53,0.11747216720169386
3.62,-0.995,2.61,0.12362069228656024
3.61,-1.0475,2.6315,0.117728052270931
3.6,-0.9185,2.3605,0.11704149305555558
3.59,-0.9845,2.4445,0.11446681434811959
3.58,-1.0055,2.5595,0.12081939936331572
3.57,-1.021,2.591,0.12150420952694807
3.56,-1.0795,2.7135,0.12215785175482896
3.55,-0.9625,2.5235,0.1267283277127554
3.54,-0.8925,2.3395,0.12312424191643526
3.53,-0.9085,2.3155,0.11958427962667223
3.52,-1.1025,2.8485,0.13179507925490705
3.51,-1.0395,2.7615,0.13643880731487568
3.5,-1.0645,2.8165,0.13741548979591836
3.49,-1.069,2.723,0.12973941100647776
3.48,-0.9945,2.5315,0.12736736606553042
3.47,-1.089,2.736,0.12873447998073237
3.46,-1.121,2.864,0.1342643422767216
3.45,-1.1195,2.9615,0.14351772736819998
3.44,-0.8985,2.2475,0.12170410948485672
3.43,-1.029,2.741,0.1429811558109291
3.42,-1.2275,3.1455,0.1401066781231832
3.41,-0.988,2.518,0.13259741488291288
3.4,-1.0035,2.6145,0.13905603373702424
3.39,-1.1135,2.7835,0.1343199023677135
3.38,-1.04,2.638,0.13623472567487133
3.37,-1.218,3.145,0.14629661263196822
3.36,-0.9765,2.4535,0.13286101810515874
3.35,-1.132,2.847,0.13950331922477166
3.34,-1.3265,3.4255,0.14933286869375026
3.33,-1.2065,3.0985,0.14815335605876148
3.32,-1.186,3.062,0.1501854405574104
3.31,-1.1925,3.0545,0.14899861720867827
3.3,-1.1505,2.9155,0.14617536730945824
3.29,-1.263,3.281,0.15574791437625302
3.28,-1.222,3.178,0.1565954045211184
3.27,-1.2085,3.0215,0.1459873140121015
3.26,-1.4405,3.7155,0.15435843934660698
3.25,-1.1795,2.9575,0.14828684023668642
3.24,-1.197,3.082,0.1571017184880353
3.23,-1.2095,3.1585,0.16252525664005218
3.22,-1.1915,3.0915,0.16124259770070595
3.21,-1.2935,3.1785,0.146093084306247
3.2,-1.2655,3.1335,0.1496103271484375
3.19,-1.2055,2.9845,0.1504770737315868
3.18,-1.2345,3.1135,0.1571842243186583
3.17,-1.2515,3.1525,0.15785287444396895
3.16,-1.318,3.331,0.15961744912674247
3.15,-1.3165,3.3415,0.16208896447467874
3.14,-1.341,3.433,0.1657997281836991
3.13,-1.356,3.498,0.16936622809255988
3.12,-1.6365,4.2005,0.15639050686226158
3.11,-1.4975,3.7315,0.15394730720319266
3.1,-1.429,3.719,0.17450145681581683
3.09,-1.503,4.019,0.18432892407913623
3.08,-1.495,3.822,0.16728948810929328
3.07,-1.564,3.949,0.15946100223875054
3.06,-1.309,3.326,0.17221143577256615
3.05,-1.5335,3.9305,0.1697261757592045
3.04,-1.4795,3.7365,0.16745798887638505
3.03,-1.382,3.623,0.18659129279264564
3.02,-1.512,3.837,0.17004254199377222
3.01,-1.503,3.848,0.17538338428935665
3.0,-1.7405,4.5225,0.1659066388888889
2.99,-1.5155,3.8975,0.1790538976074093
2.98,-1.412,3.538,0.1738948696004685
2.97,-1.4135,3.5555,0.17657129657971404
2.96,-1.4455,3.6935,0.18307498059715113
2.95,-1.6125,4.1295,0.1757361390405056
2.94,-1.6625,4.3305,0.18124320306353828
2.93,-1.7455,4.5405,0.1739950086780276
2.92,-1.8005,4.6595,0.16627178527866396
2.91,-1.787,4.623,0.1688254744275576
2.9,-1.818,4.682,0.16371890606420933
2.89,-1.807,4.678,0.16914919601058415
2.88,-1.738,4.443,0.17148389274691353
2.87,-1.524,3.848,0.18519394432371394
2.86,-1.716,4.448,0.18379187246320125
2.85,-1.8585,4.8095,0.16687937827023697
2.84,-1.8835,4.8515,0.16166531318190835
2.83,-1.817,4.717,0.17674224924771192
2.82,-1.7955,4.6505,0.17940241310799254
2.81,-1.954,5.049,0.155885057180127
2.8,-1.792,4.613,0.17879285714285717
2.79,-1.996,5.226,0.15955396256471524
2.78,-1.906,4.912,0.16551472491071895
2.77,-1.7775,4.5965,0.18728169922715007
2.76,-1.8575,4.9165,0.19247449984247017
2.75,-1.873,4.953,0.19105732231404965
2.74,-1.892,4.964,0.18439128349938735
2.73,-1.8575,4.8555,0.18854321807618513
2.72,-1.8085,4.6855,0.19123428714316607
2.71,-1.96,5.051,0.16467640691167068
2.7,-1.9105,4.8775,0.16837993827160494
2.69,-1.93,4.914,0.16432885117673884
2.68,-1.888,4.871,0.18189685898863897
2.67,-1.85,4.79,0.1918248257094362
2.66,-1.8365,4.7165,0.1899157315280683
2.65,-1.8645,4.8125,0.1902655393378426
2.64,-2.017,5.218,0.16496082988980715
2.63,-1.877,4.824,0.1880713903627348
2.62,-1.85,4.794,0.1997989627644075
2.61,-1.892,4.908,0.19499655025616194
2.6,-1.8585,4.8165,0.20154996301775138
2.59,-1.949,5.069,0.18938283567627195
2.58,-2.079,5.387,0.1599601886905833
2.57,-1.902,4.955,0.20248542748565465
2.56,-2.007,5.219,0.18172470092773438
2.55,-2.08,5.411,0.16679738562091495
2.54,-2.054,5.313,0.16958335916671838
2.53,-2.0465,5.2665,0.16846658282429042
2.52,-2.1415,5.4925,0.14274340986394535
2.51,-2.016,5.177,0.17662322820272686
2.5,-2.121,5.522,0.16373744000000004
2.49,-2.0795,5.3385,0.16357474072998823
2.48,-2.14,5.56,0.15940426638917787
2.47,-2.1,5.442,0.16915537051910373
2.46,-2.089,5.386,0.1688940115010907
2.45,-2.1785,5.6305,0.14737821740941265
2.44,-2.1425,5.6105,0.1713574559930126
2.43,-2.122,5.424,0.15599180341750077
2.42,-2.0605,5.2675,0.17448257461921984
2.41,-2.081,5.361,0.17741412854461874
2.4,-2.116,5.462,0.17092777777777773
2.39,-2.0795,5.3575,0.18087564118275246
2.38,-2.074,5.349,0.18493114893016047
2.37,-2.0605,5.3565,0.19776740728871767
2.36,-2.0775,5.3315,0.18232794994254514
2.35,-1.99,5.088,0.20423721140787685
2.34,-2.0795,5.3365,0.18485275586237135
2.33,-2.1185,5.4565,0.17838931459411664
2.32,-2.0335,5.2135,0.20035258434898925
2.31,-2.1265,5.4465,0.1732534528963101
2.3,-2.1625,5.5805,0.17090619092627593
2.29,-2.1585,5.4955,0.15948928319444702
2.28,-2.118,5.477,0.19065020006155753
2.27,-2.206,5.751,0.17166333520929963
2.26,-2.2615,5.8585,0.14568833698801806
2.25,-2.2035,5.7295,0.17265930864197532
2.24,-2.216,5.738,0.16488839285714268
2.23,-2.213,5.777,0.1768849162460536
2.22,-2.2325,5.8125,0.1680958830452073
2.21,-2.215,5.655,0.15330869556315413
2.2,-2.209,5.672,0.16370227272727253
2.19,-2.2795,5.9335,0.1537456996309501
2.18,-2.216,5.718,0.16988132312094914
2.17,-2.174,5.582,0.18172481895984208
2.16,-2.2505,5.7975,0.1570537015603566
2.15,-2.236,5.754,0.16318096268253077
2.14,-2.2785,5.8725,0.14868935059830535
2.13,-2.266,5.878,0.16382199299080866
2.12,-2.2675,5.8055,0.147726893467426
2.11,-2.238,5.782,0.17370589160171598
2.1,-2.209,5.678,0.1810247165532878
2.09,-2.2295,5.6565,0.15700871088116136
2.08,-2.259,5.817,0.16501456176035514
2.07,-2.2275,5.7555,0.18524207099348858
2.06,-2.2615,5.8205,0.16639592562918293
2.05,-2.2405,5.7965,0.18480898274836416
2.04,-2.186,5.6,0.19737697039600158
2.03,-2.242,5.75,0.17555291319857327
2.02,-2.303,5.97,0.1632661013626116
2.01,-2.3645,6.1705,0.14347163436548585
2.0,-2.2465,5.7725,0.18143443749999988
1.99,-2.28,5.906,0.17868235650614886
1.98,-2.311,5.983,0.16382996632996644
1.97,-2.328,5.94,0.13409673013991621
1.96,-2.338,6.023,0.14492815493544334
1.95,-2.2935,5.9085,0.17050828402366883
1.94,-2.3625,6.1625,0.1543983818684241
1.93,-2.367,6.144,0.14532229053128953
1.92,-2.2865,5.8665,0.17318189832899294
1.91,-2.271,5.774,0.16900825087031618
1.9,-2.3485,6.0735,0.154583864265928
1.89,-2.358,6.076,0.14440693149687844
1.88,-2.338,5.974,0.1436611588954277
1.87,-2.3235,5.9825,0.16696152306328443
1.86,-2.3235,5.9725,0.16587112671985188
1.85,-2.345,6.096,0.1744265887509129
1.84,-2.327,5.983,0.1677903473534971
1.83,-2.305,5.869,0.16601719967750578
1.82,-2.356,6.062,0.15434850863422309
1.81,-2.287,5.809,0.1766218979884621
1.8,-2.3445,6.0235,0.16259868827160512
1.79,-2.3525,6.0375,0.15706243562934966
1.78,-2.3755,6.1325,0.15449430311829296
1.77,-2.346,6.054,0.1756468447764051
1.76,-2.365,6.069,0.15359471849173517
1.75,-2.401,6.14,0.12251395918367355
1.74,-2.343,6.023,0.17616296736689113
1.73,-2.3805,6.1175,0.15059632797621014
1.72,-2.4065,6.2305,0.14847814697133627
1.71,-2.349,6.021,0.17208679593721096
1.7,-2.381,6.129,0.15911384083045002
